"Year","Nat.Elec.Rate","Rural.Elec.Rate","Urban.Elec.Rate","country"
" 1990"," 0"," 0"," 0","Afghanistan"
" 1991"," 0"," 0"," 0","Afghanistan"
" 1992"," 0"," 0"," 0","Afghanistan"
" 1993"," 0"," 0"," 0","Afghanistan"
" 1994"," 0"," 0"," 0","Afghanistan"
" 1995"," 0"," 0"," 0","Afghanistan"
" 1996"," 0"," 0"," 0","Afghanistan"
" 1997"," 0"," 0"," 0","Afghanistan"
" 1998"," 0"," 0"," 0","Afghanistan"
" 1999"," 0.02","0"," 0","Afghanistan"
" 2000"," 0.16","0"," 0","Afghanistan"
" 2001"," 1.01","0.05","0","Afghanistan"
" 2002"," 3.47","0.39","0","Afghanistan"
" 2003"," 7.21","1.77","0","Afghanistan"
" 2004","13.97","2.41","0","Afghanistan"
" 2005","23","13","74","Afghanistan"
" 2006","27.51"," 17.33"," 61.11","Afghanistan"
" 2007","34.29"," 24.83"," 64.95","Afghanistan"
" 2008"," 42.4","32.5","89.9","Afghanistan"
" 2009","47.89"," 39.88"," 72.83","Afghanistan"
" 2010"," 42.7","32.4","82.8","Afghanistan"
" 2011","61.51"," 54.99"," 81.01","Afghanistan"
" 2012","69.1"," 63.8","95","Afghanistan"
" 2013"," 75.15","70.13","89.55","Afghanistan"
" 2014","89.5"," 87.8"," 98.7","Afghanistan"
" 1990"," 100"," 100"," 100","Albania"
" 1991"," 100"," 100"," 100","Albania"
" 1992"," 100"," 100"," 100","Albania"
" 1993"," 100"," 100"," 100","Albania"
" 1994"," 100"," 100"," 100","Albania"
" 1995"," 100"," 100"," 100","Albania"
" 1996"," 100"," 100"," 100","Albania"
" 1997"," 100"," 100"," 100","Albania"
" 1998"," 100"," 100"," 100","Albania"
" 1999"," 100"," 100"," 100","Albania"
" 2000"," 100"," 100"," 100","Albania"
" 2001"," 100"," 100"," 100","Albania"
" 2002"," 100"," 100"," 100","Albania"
" 2003"," 100"," 100"," 100","Albania"
" 2004"," 100"," 100"," 100","Albania"
" 2005"," 100"," 100"," 100","Albania"
" 2006"," 100"," 100"," 100","Albania"
" 2007"," 100"," 100"," 100","Albania"
" 2008"," 100"," 100"," 100","Albania"
" 2009"," 100"," 100"," 100","Albania"
" 2010"," 100"," 100"," 100","Albania"
" 2011"," 100"," 100"," 100","Albania"
" 2012","100","100","100","Albania"
" 2013","100","100","100","Albania"
" 2014","100","100","100","Albania"
" 1990","92.99"," 92.24"," 0","Algeria"
" 1991","93.39"," 92.59"," 0","Algeria"
" 1992"," 93.8"," 92.94"," 0","Algeria"
" 1993"," 94.2"," 93.28"," 0","Algeria"
" 1994","94.59"," 93.62"," 0","Algeria"
" 1995","94.98"," 93.95"," 0","Algeria"
" 1996","95.35"," 94.27"," 0","Algeria"
" 1997","95.72"," 94.57"," 0","Algeria"
" 1998","96.06"," 94.85"," 0","Algeria"
" 1999","96.39"," 95.11"," 0","Algeria"
" 2000"," 96.7"," 95.36"," 0","Algeria"
" 2001","97","95.59"," 0","Algeria"
